Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2024-25","Winter","ACIS","1004","Accounting Foundations","Lacoste","3.47","60","10","10","0","0","0","10","10","0","0","0","0","1","10","40126","  3"
"2024-25","Winter","ACIS","1504","Intro to Bus Analytics & BI","Sharp","3.68","53.8","26.9","7.7","0","3.8","7.7","0","0","0","0","0","0","0","26","40127","  3"
"2024-25","Winter","ACIS","2115","Principles of Accounting","Lacoste","3.24","50","7.1","3.6","3.6","7.1","7.1","10.7","10.7","0","0","0","0","1","28","40128","  3"
"2024-25","Winter","ACIS","2116","Principles of Accounting","Martin","3","17.6","11.8","5.9","23.5","20.6","2.9","14.7","0","2.9","0","0","0","0","34","40129","  3"
"2024-25","Winter","ACIS","3554","Networks, Telecom, & Security","Shen","3.17","50","0","0","16.7","0","16.7","0","16.7","0","0","0","0","0","6","40164","  3"
"2024-25","Winter","ADV","2134","Intro to Health Communication","Holz","3.49","60","13.3","0","20","0","0","0","0","0","0","0","6.7","1","15","40015","  3"
"2024-25","Winter","ADV","3024","Ad Ethics & Soc Responsibility","Combs","3.48","20","40","0","40","0","0","0","0","0","0","0","0","0","5","40225","  3"
"2024-25","Winter","AFST","1714","Intro African American Studies","Seniors","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","40016","  3"
"2024-25","Winter","AHRM","1014","Design and Art for Consumers","Walsh","3.54","74.1","7.4","0","0","3.7","7.4","0","0","0","3.7","0","3.7","1","27","40136","  3"
"2024-25","Winter","APS","1704","Intro to Appalachian Studies","Edmondson","3.73","80","0","0","13.3","0","0","6.7","0","0","0","0","0","0","15","40017","  3"
"2024-25","Winter","ARCH","1044","Life in the Built Environment","Tew","3.85","92.7","0","2.4","0","2.4","0","0","0","0","0","0","2.4","0","41","40002","  3"
"2024-25","Winter","ART","1104","Language of Visual Arts","Jewitt","3.24","29.4","17.7","5.9","17.6","17.6","5.9","0","0","5.9","0","0","0","0","17","40003","  3"
"2024-25","Winter","ART","2385","Surv Hist West Art","Spaar","3.43","50","0","16.7","16.7","0","16.7","0","0","0","0","0","0","1","6","40004","  3"
"2024-25","Winter","ART","3284","Medieval Art and Architecture","Moseley Christian","3.21","50","0","12.5","0","12.5","0","12.5","12.5","0","0","0","0","0","8","40005","  3"
"2024-25","Winter","BC","1114","Intro to Building Construction","McCoy","3.53","63.2","5.3","2.6","13.2","2.6","7.9","0","2.6","2.6","0","0","0","0","38","40192","  3"
"2024-25","Winter","BC","3134","Temporary Structures","Clark","3.81","73.3","20","0","0","0","0","6.7","0","0","0","0","0","0","15","40234","  3"
"2024-25","Winter","BIOL","1105","Principles of Biology","Lipscomb","3.71","75.6","0","0","19.5","0","0","4.9","0","0","0","0","0","0","41","40019","  3"
"2024-25","Winter","BIOL","1106","Principles of Biology","Hogan","3.32","44.1","0","0","44.1","0","0","11.8","0","0","0","0","0","0","34","40020","  3"
"2024-25","Winter","BIOL","2134","Cell Function Differentiation","Watkinson","3.49","31.8","27.3","18.2","9.1","9.1","0","4.5","0","0","0","0","0","0","22","40021","  3"
"2024-25","Winter","BIOL","2604","General Microbiology","Seyler","3.8","62.9","25.7","2.9","5.7","0","2.9","0","0","0","0","0","0","0","35","40022","  3"
"2024-25","Winter","BIOL","2704","Evolutionary Biology","Sheppard","3.35","28.6","14.3","19","19","14.3","0","4.8","0","0","0","0","0","0","21","40023","  3"
"2024-25","Winter","BIOL","3514","Introduction to Histology","Sheppard","3.3","36.7","26.7","6.7","10","3.3","3.3","6.7","0","0","0","3.3","3.3","0","30","40024","  3"
"2024-25","Winter","BIT","2405","Bus Stats Analytics & Model","Kern","3.04","10.2","11.9","18.6","32.2","11.9","8.5","3.4","1.7","0","0","0","1.7","0","59","40133","  3"
"2024-25","Winter","BIT","2406","Bus Stats Analytics & Model","Nottingham","2.66","3.8","5.7","7.5","24.5","24.5","13.2","13.2","3.8","1.9","0","0","1.9","2","53","40159","  3"
"2024-25","Winter","BIT","3414","Operations & Supply Chain Mgt","Deane","3.35","21.7","33.3","18.3","16.7","1.7","0","1.7","1.7","1.7","0","1.7","1.7","0","60","40160","  3"
"2024-25","Winter","BIT","3424","Intro Bus Analytics Modeling","Abrahams","3.82","77.8","7.4","3.7","3.7","7.4","0","0","0","0","0","0","0","0","27","40025","  3"
"2024-25","Winter","BIT","3444","Adv Bus Comp and App","Zahadat","3.08","39.3","10.7","10.7","10.7","7.1","0","0","14.3","0","0","0","7.1","1","28","40162","  3"
"2024-25","Winter","BIT","3554","Networks, Telecom, & Security","Shen","3.42","21.1","31.6","21.1","15.8","0","10.5","0","0","0","0","0","0","0","19","40163","  3"
"2024-25","Winter","BIT","3674","Cybersecurity Management II","James","3.24","8.3","58.3","0","25","0","0","0","0","0","0","0","8.3","0","12","40212","  3"
"2024-25","Winter","BIT","4444","Web-Based DSS","Flora","3.6","55.6","33.3","0","0","0","0","0","0","11.1","0","0","0","0","9","40166","  3"
"2024-25","Winter","BIT","4484","Project Management","Deane","3.91","69","31","0","0","0","0","0","0","0","0","0","0","0","29","40165","  3"
"2024-25","Winter","BIT","4624","Cybersecurity Analytics","Hodsden","3.74","60","26.7","6.7","0","0","0","6.7","0","0","0","0","0","0","15","40134","  3"
