Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2024-25","Fall","MUS","4754","Adv Ind App Recording","Dunston","3.62","20","60","0","20","0","0","0","0","0","0","0","0","0","5","88319","  1"
"2024-25","Fall","ECE","4664","Analog/Dig Comm Lab","Lu","3.54","20","40","20","20","0","0","0","0","0","0","0","0","1","5","83770","  1"
"2024-25","Fall","ECE","4664","Analog/Dig Comm Lab","Buehrer","3.54","20","40","20","20","0","0","0","0","0","0","0","0","1","5","83770","  1"
"2024-25","Summer I","PHS","5024","Epi & Quant Meth Publ Hlth Lab","Ruktanonchai","3.88","60","40","0","0","0","0","0","0","0","0","0","0","0","5","63905","  1"
"2024-25","Summer I","PHYS","2215","General Physics Laboratory","Merritt","3.06","60","0","20","0","0","0","0","0","0","0","0","20","0","5","63921","  1"
"2024-25","Summer I","PHYS","2216","General Physics Laboratory","Merritt","3.72","60","0","40","0","0","0","0","0","0","0","0","0","0","5","63927","  1"
"2024-25","Fall","MUS","2334","High Brass Techniques","Bean","3.42","20","60","0","0","0","0","20","0","0","0","0","0","0","5","88232","  1"
"2024-25","Fall","NEUR","2974","Independent Study","Unroe","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88392","  1"
"2024-25","Fall","MUS","2514","Individual Applied Voice","Cowan","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","88236","  1"
"2024-25","Fall","CHEM","4124","Instrumental Analysis Lab","Tissue","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","82938","  1"
"2024-25","Fall","MUS","3314","Instrumental Ensemble Music","Weinstein","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88276","  1"
"2024-25","Fall","MUS","3314","Instrumental Ensemble Music","Irrera","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88284","  1"
"2024-25","Fall","MUS","3314","Instrumental Ensemble Music","Hutchins","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","92124","  1"
"2024-25","Fall","COS","2164","Introduction to Scieneering","Watford","3.86","80","0","20","0","0","0","0","0","0","0","0","0","0","5","83234","  1"
"2024-25","Fall","MSE","4424","Materials Laboratory II","Suchicital","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88158","  1"
"2024-25","Fall","MSE","4424","Materials Laboratory II","Suchicital","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88161","  1"
